variable,1st Downs,1st downs by penalty,3rd down %,3rd down efficiency,4th down %,4th down efficiency,Average Interception Yards,Average Kickoff Return Yards,Average Punt Return Yards,Comp-Att,FG: Good-Attempts,Fumbles-Lost,INT: Total,Interceptions,Kickoffs: Total,Net Average Punt Yards,Net Passing Yards,Net Passing Yards Per Game,Passing 1st downs,Passing Touchdowns,Possession Time Seconds,Punt: Total,Punt: Total Yards,Rushing 1st downs,Rushing Attempts,Rushing Touchdowns,Rushing Yards,Rushing Yards Per Game,Sacks-Yards Lost,Total Offensive Plays,Total Points,Total Points Per Game,Total Touchdowns,Total Yards,Total-Yards,Touchback Percentage,Turnover Ratio,Yards Per Game,Yards Per Pass Attempt,Yards Per Rush Attempt
Ohio,296,22,49.41,83-168,55.56,5-9,4.6,22.9,5.3,203-335,16-20,33:13,5-23,6,35-803,37.0,2866,220.5,126,21,20,29-154,50-2043,148,526,36,2883,221.8,21--150,882,446,34.3,57,5749,70-627,0,18-13,442.2,8.6,5.5
Toledo,261,19,38.01,65-171,58.07,18-31,7.7,20.8,7.7,193-339,11-16,23-12,7-54,7,46-957,38.7,2515,209.6,116,15,00:00,20-154,55-2350,126,517,27,2694,224.5,29--173,885,327,27.3,42,5209,67-608,0,0,434.1,7.4,5.2
Western Michigan,288,23,45.26,86-190,57.14,16-28,16.9,24.5,2.0,246-413,10-17,27:59,13-220,8,36-882,37.0,3128,240.6,132,21,64,14-47,52-2200,133,503,35,2666,205.1,18--122,934,430,33.1,58,5794,82-759,0,14-6,445.7,7.6,5.3
Air Force,286,7,53.50,84-157,76.19,16-21,34.3,13.3,1.2,68-126,13-13,43:24,7-240,6,7-93,37.3,1602,123.2,52,14,20,5-6,31-1253,227,755,41,3881,298.5,4--22,885,441,33.9,58,5483,42-368,0,24-12,421.8,12.7,5.1
Boise State,318,23,47.50,95-200,58.82,10-17,8.7,21.7,12.0,287-464,15-19,25:54,10-87,11,38-826,36.7,3664,261.7,159,31,25,25-301,56-2200,136,529,27,2342,167.3,27--167,1020,486,34.7,63,6006,76-695,0,19-8,429.0,7.9,4.4
Colorado State,257,21,39.65,67-169,52.38,11-21,17.5,24.6,6.8,279-445,14-24,21-13,6-105,11,24-591,42.4,3660,305.0,157,21,00:00,21-142,49-2274,79,395,18,1586,132.2,27--180,867,337,28.1,42,5246,80-782,0,0,437.2,8.2,4.0
Fresno State,232,23,37.16,55-148,46.15,6-13,15.0,19.6,13.3,241-373,12-21,15-7,11-165,11,34-667,40.0,2721,226.8,122,17,00:00,9-120,52-2209,87,394,27,1911,159.3,23--158,790,360,30.0,46,4632,74-599,0,0,386.0,7.3,4.9
Hawai'i,367,19,47.06,88-187,60.61,20-33,23.1,22.3,4.9,396-635,10-17,29:29,14-323,17,49-1092,36.1,5056,337.1,223,42,59,21-102,42-1743,125,421,21,2009,133.9,27--173,1083,508,33.9,68,7065,103-918,0,18-13,471.0,8.0,4.8
Nevada,251,17,36.72,76-207,58.33,14-24,7.7,19.5,9.7,310-500,21-25,26:47,11-85,13,33-645,36.8,3246,249.7,144,14,58,19-184,72-2953,90,446,16,1503,115.6,33--220,979,277,21.3,31,4749,96-772,0,22-11,365.3,6.5,3.4
New Mexico,245,27,36.69,62-169,37.50,6-16,17.8,24.1,6.1,163-331,12-16,21-11,4-71,15,26-627,42.1,2340,195.0,103,13,00:00,24-147,60-2738,115,501,20,2463,205.3,18--109,850,267,22.3,34,4803,81-729,0,0,400.3,7.1,4.9
San Diego State,259,18,38.16,79-207,56.52,13-23,3.2,22.9,6.7,253-397,22-26,38:19,18-58,6,22-503,40.3,2634,202.6,128,15,65,27-181,74-3347,113,536,12,1827,140.5,21--163,954,276,21.2,30,4461,78-655,0,6-2,343.2,6.6,3.4
San Jose State,258,25,40.88,65-159,43.75,7-16,7.3,19.7,4.8,305-498,20-24,13-5,16-116,8,25-492,35.6,4056,338.0,171,24,00:00,10-48,47-1867,62,307,19,1073,89.4,14--107,819,361,30.1,43,5129,74-608,0,0,427.4,8.1,3.5
UNLV,232,22,28.40,48-169,51.52,17-33,10.6,16.8,2.5,208-388,11-14,17-6,9-95,12,27-454,33.9,2474,206.2,98,20,00:00,20-49,68-2890,112,443,17,2018,168.2,29--169,860,290,24.2,37,4492,65-536,0,0,374.3,6.4,4.6
Utah State,289,19,42.64,84-197,33.33,3-9,14.6,21.9,11.5,315-504,21-24,27:41,11-161,18,34-745,35.6,3628,279.1,156,22,36,12-138,70-2760,114,461,18,1979,152.2,23--123,988,380,29.2,45,5607,74-615,0,15-8,431.3,7.2,4.3
Wyoming,230,20,43.09,81-188,54.55,6-11,16.6,27.7,10.8,120-256,15-22,33:51,12-199,9,11-305,37.8,1770,136.2,82,11,10,34-366,68-2816,128,575,27,2792,214.8,21--142,852,330,25.4,41,4562,67-634,0,10-6,350.9,6.9,4.9
Arizona State,233,20,38.50,72-187,56.25,9-16,8.7,26.3,13.0,233-383,23-27,28:56,13-113,4,23-606,41.6,3235,248.8,125,21,40,19-247,67-3082,88,459,13,1602,123.2,33--182,875,322,24.8,36,4837,85-818,0,18-10,372.1,8.4,3.5
Arizona,270,20,44.09,82-186,65.00,13-20,11.7,21.1,6.4,261-422,10-17,10-6,11-129,12,34-716,34.5,3193,266.1,139,23,00:00,14-89,59-2290,111,451,19,2088,174.0,33--191,906,323,26.9,42,5281,76-677,0,0,440.1,7.6,4.6
