,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,7.5,,,102.0,52.3,6.0,62,Tevaka Tuioti QB,195.0,1460.0,,120.9,,,,11.0,-65.0,7
1,6.6,,,34.0,44.7,7.0,47,Sheriron Jones QB,76.0,500.0,,90.3,,,,4.0,-28.0,2
2,7.5,,,12.0,41.4,0.0,51,Brandt Hughes QB,29.0,218.0,,104.5,,,,0.0,0.0,0
3,5.8,,,15.0,53.6,2.0,30,Trae Hall QB,28.0,162.0,,135.0,,,,3.0,-16.0,4
4,0.0,,,0.0,0.0,0.0,0,Q' Drennan WR,1.0,0.0,,0.0,,,,0.0,0.0,0
5,7.1,,,163.0,49.2,15.0,62,Total,331.0,2340.0,,112.5,,,,18.0,-109.0,13
0,,,5.9,,,,67,Ahmari Davis RB,,,,,,140.0,832.0,,,7
1,,,5.1,,,,56,Bryson Carroll RB,,,,,,105.0,536.0,,,2
10,,,5.0,,,,7,Chad Alexander RB,,,,,,5.0,25.0,,,0
11,,,2.0,,,,6,Emmanuel Logan-Greene WR,,,,,,6.0,12.0,,,0
12,,,4.0,,,,8,Jay Griffin IV WR,,,,,,3.0,12.0,,,0
13,,,3.0,,,,4,Lawrence Johnson RB,,,,,,3.0,9.0,,,0
14,,,4.0,,,,4,Thomas Vieira WR,,,,,,1.0,4.0,,,0
15,,,1.5,,,,2,Elijah Lilly WR,,,,,,2.0,3.0,,,0
16,,,2.0,,,,2,Tyson Dyer P,,,,,,1.0,2.0,,,0
17,,,0.5,,,,5,Cedric Patterson III WR,,,,,,2.0,1.0,,,0
18,,,-5.0,,,,0,Brandt Hughes QB,,,,,,1.0,-5.0,,,0
19,,,4.9,,,,67,Total,,,,,,501.0,2463.0,,,20
2,,,5.0,,,,48,Tevaka Tuioti QB,,,,,,52.0,262.0,,,0
3,,,4.3,,,,35,Sheriron Jones QB,,,,,,47.0,204.0,,,3
4,,,7.0,,,,37,Bobby Cole RB,,,,,,27.0,189.0,,,2
5,,,5.8,,,,22,Trae Hall QB,,,,,,28.0,163.0,,,2
6,,,3.7,,,,9,Kentrail Moran RB,,,,,,27.0,100.0,,,2
7,,,5.3,,,,23,Micah Gray RB,,,,,,16.0,84.0,,,1
8,,,3.1,,,,15,Daevon Vigilant RB,,,,,,17.0,53.0,,,1
9,,,3.3,,,,11,Javohn Jones RB,,,,,,8.0,26.0,,,0
0,,18.9,,,,,59,Jordan Kress WR,,,28.0,,530.0,,,,,6
1,,16.5,,,,,42,Marcus Williams TE,,,26.0,,428.0,,,,,1
10,,9.6,,,,,18,Q' Drennan WR,,,5.0,,48.0,,,,,0
11,,7.5,,,,,11,Thomas Vieira WR,,,4.0,,30.0,,,,,0
12,,4.3,,,,,6,Javohn Jones RB,,,3.0,,13.0,,,,,0
13,,6.0,,,,,7,Bryson Carroll RB,,,2.0,,12.0,,,,,0
14,,2.8,,,,,6,Daevon Vigilant RB,,,4.0,,11.0,,,,,0
15,,8.0,,,,,8,Jeffrey Jones Jr. TE,,,1.0,,8.0,,,,,0
16,,14.4,,,,,62,Total,,,163.0,,2340.0,,,,,13
2,,13.0,,,,,40,Anselem Umeh WR,,,21.0,,272.0,,,,,0
3,,17.5,,,,,41,Aaron Molina WR,,,14.0,,245.0,,,,,3
4,,24.8,,,,,62,Cedric Patterson III WR,,,8.0,,198.0,,,,,2
5,,10.2,,,,,21,Emmanuel Logan-Greene WR,,,19.0,,193.0,,,,,0
6,,9.1,,,,,25,Jay Griffin IV WR,,,13.0,,118.0,,,,,0
7,,13.6,,,,,36,Elijah Lilly WR,,,7.0,,95.0,,,,,0
8,,15.2,,,,,29,Anu Somoye WR,,,5.0,,76.0,,,,,1
9,,21.0,,,,,51,Ahmari Davis RB,,,3.0,,63.0,,,,,0
