,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,6.7,,,144.0,59.8,8.0,59,Jack Plummer QB,241.0,1603.0,,124.0,,,,21.0,-162.0,11
1,6.7,,,103.0,62.8,4.0,72,Aidan O'Connell QB,164.0,1101.0,,130.4,,,,5.0,-40.0,8
2,8.7,,,72.0,64.3,3.0,70,Elijah Sindelar QB,112.0,978.0,,158.8,,,,2.0,-10.0,9
3,37.0,,,1.0,100.0,0.0,37,Milton Wright WR,1.0,37.0,,740.8,,,,0.0,0.0,1
4,0.0,,,0.0,0.0,0.0,0,-,2.0,0.0,,0.0,,,,0.0,0.0,0
5,7.2,,,320.0,61.5,15.0,72,Total,520.0,3719.0,,134.2,,,,28.0,-212.0,29
0,,,3.5,,,,26,King Doerue RB,,,,,,130.0,451.0,,,5
1,,,4.8,,,,48,Zander Horvath RB,,,,,,79.0,377.0,,,2
10,,,1.5,,,,2,Alfred Armour RB,,,,,,2.0,3.0,,,0
11,,,2.0,,,,2,Milton Wright WR,,,,,,1.0,2.0,,,0
12,,,-0.6000000000000001,,,,9,Aidan O'Connell QB,,,,,,15.0,-9.0,,,0
13,,,-4.3,,,,0,-,,,,,,4.0,-17.0,,,0
14,,,2.9,,,,48,Total,,,,,,342.0,999.0,,,9
2,,,0.9,,,,19,Jack Plummer QB,,,,,,62.0,56.0,,,0
3,,,4.0,,,,13,Jackson Anthrop WR,,,,,,12.0,48.0,,,0
4,,,2.7,,,,9,Tario Fuller RB,,,,,,12.0,32.0,,,0
5,,,2.4,,,,9,Elijah Sindelar QB,,,,,,12.0,29.0,,,1
6,,,4.0,,,,9,David Bell WR,,,,,,3.0,12.0,,,1
7,,,1.5,,,,4,Da'Joun Hewitt RB,,,,,,6.0,9.0,,,0
8,,,3.0,,,,3,Richie Worship RB,,,,,,1.0,3.0,,,0
9,,,1.0,,,,4,Rondale Moore WR,,,,,,3.0,3.0,,,0
0,,12.0,,,,,54,David Bell WR,,,86.0,,1035.0,,,,,7
1,,13.6,,,,,72,Brycen Hopkins TE,,,61.0,,830.0,,,,,7
10,,6.0,,,,,8,TJ Sheffield WR,,,2.0,,12.0,,,,,0
11,,4.0,,,,,4,Da'Joun Hewitt RB,,,1.0,,4.0,,,,,0
12,,11.6,,,,,72,Total,,,320.0,,3719.0,,,,,29
2,,13.3,,,,,70,Rondale Moore WR,,,29.0,,387.0,,,,,2
3,,11.1,,,,,54,Amad Anderson Jr. WR,,,31.0,,343.0,,,,,3
4,,9.2,,,,,38,Jackson Anthrop WR,,,37.0,,340.0,,,,,1
5,,16.0,,,,,59,Milton Wright WR,,,18.0,,288.0,,,,,1
6,,7.4,,,,,22,King Doerue RB,,,20.0,,148.0,,,,,2
7,,8.4,,,,,25,Zander Horvath RB,,,17.0,,142.0,,,,,1
8,,13.5,,,,,50,Jared Sparks WR,,,8.0,,108.0,,,,,1
9,,9.1,,,,,26,Payne Durham TE,,,9.0,,82.0,,,,,4
