,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,8.3,,,237.0,66.9,7.0,66,Kyle Trask QB,354.0,2941.0,,156.1,,,,22.0,-163.0,25
1,9.8,,,54.0,76.1,3.0,69,Feleipe Franks QB,71.0,698.0,,173.4,,,,3.0,-15.0,5
2,7.0,,,25.0,65.8,0.0,48,Emory Jones QB,38.0,267.0,,150.9,,,,0.0,0.0,3
3,4.0,,,1.0,100.0,0.0,4,Lucas Krull TE,1.0,4.0,,133.6,,,,0.0,0.0,0
4,0.0,,,0.0,0.0,0.0,0,Kadarius Toney WR,1.0,0.0,,0.0,,,,0.0,0.0,0
5,0.0,,,0.0,0.0,0.0,0,Lamical Perine RB,1.0,0.0,,0.0,,,,0.0,0.0,0
6,0.0,,,0.0,0.0,0.0,0,-,1.0,0.0,,0.0,,,,0.0,0.0,0
7,8.4,,,317.0,67.9,10.0,69,Total,467.0,3910.0,,157.3,,,,25.0,-178.0,33
0,,,5.1,,,,88,Lamical Perine RB,,,,,,132.0,676.0,,,6
1,,,5.6,,,,75,Dameon Pierce RB,,,,,,54.0,305.0,,,4
10,,,2.0,,,,5,Nay'Quan Wright RB,,,,,,12.0,24.0,,,0
11,,,0.1,,,,16,Kyle Trask QB,,,,,,63.0,8.0,,,4
12,,,7.0,,,,7,Van Jefferson WR,,,,,,1.0,7.0,,,0
13,,,1.7000000000000002,,,,6,Tommy Townsend P,,,,,,3.0,5.0,,,0
14,,,-4.0,,,,0,Trevon Grimes WR,,,,,,1.0,-4.0,,,0
15,,,-1.2,,,,0,-,,,,,,6.0,-7.0,,,0
16,,,4.2,,,,88,Total,,,,,,398.0,1687.0,,,21
2,,,6.1,,,,29,Emory Jones QB,,,,,,42.0,256.0,,,4
3,,,16.8,,,,76,Josh Hammond WR,,,,,,6.0,101.0,,,1
4,,,2.5,,,,12,Malik Davis RB,,,,,,34.0,86.0,,,1
5,,,3.2,,,,22,Feleipe Franks QB,,,,,,21.0,68.0,,,1
6,,,4.9,,,,26,Kadarius Toney WR,,,,,,12.0,59.0,,,0
7,,,16.0,,,,41,Iverson Clement RB,,,,,,3.0,48.0,,,0
8,,,7.0,,,,15,Jacob Copeland WR,,,,,,4.0,28.0,,,0
9,,,6.8,,,,10,Freddie Swain WR,,,,,,4.0,27.0,,,0
0,,13.4,,,,,69,Van Jefferson WR,,,49.0,,657.0,,,,,6
1,,12.0,,,,,32,Kyle Pitts TE,,,54.0,,649.0,,,,,5
10,,11.0,,,,,20,Lucas Krull TE,,,3.0,,33.0,,,,,0
11,,10.3,,,,,25,Keon Zipperer TE,,,3.0,,31.0,,,,,1
12,,7.5,,,,,18,Dameon Pierce RB,,,4.0,,30.0,,,,,0
13,,13.5,,,,,24,Rick Wells WR,,,2.0,,27.0,,,,,0
14,,4.0,,,,,4,Nay'Quan Wright RB,,,1.0,,4.0,,,,,0
15,,4.0,,,,,4,Kyle Trask QB,,,1.0,,4.0,,,,,0
16,,12.3,,,,,69,Total,,,317.0,,3910.0,,,,,33
2,,13.6,,,,,64,Freddie Swain WR,,,38.0,,517.0,,,,,7
3,,14.9,,,,,66,Trevon Grimes WR,,,33.0,,491.0,,,,,3
4,,14.0,,,,,36,Tyrie Cleveland WR,,,25.0,,351.0,,,,,1
5,,12.8,,,,,65,Josh Hammond WR,,,27.0,,346.0,,,,,2
6,,13.0,,,,,37,Jacob Copeland WR,,,21.0,,273.0,,,,,2
7,,6.6,,,,,30,Lamical Perine RB,,,40.0,,262.0,,,,,5
8,,19.4,,,,,66,Kadarius Toney WR,,,10.0,,194.0,,,,,1
9,,6.8,,,,,10,Malik Davis RB,,,6.0,,41.0,,,,,0
