,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,7.6,,,222.0,62.0,3.0,75,Jake Luton QB,358.0,2714.0,,149.8,,,,24.0,-170.0,28
1,5.8,,,38.0,63.3,1.0,22,Tristan Gebbia QB,60.0,347.0,,119.6,,,,1.0,-7.0,2
2,0.0,,,0.0,0.0,0.0,0,Daniel Rodriguez P,1.0,0.0,,0.0,,,,0.0,0.0,0
3,7.3,,,260.0,61.9,4.0,75,Total,420.0,3061.0,,144.8,,,,25.0,-177.0,30
0,,,6.0,,,,53,Artavis Pierce RB,,,,,,146.0,873.0,,,6
1,,,4.8,,,,54,Jermar Jefferson RB,,,,,,142.0,685.0,,,8
10,,,-2.0,,,,19,Jake Luton QB,,,,,,44.0,-87.0,,,1
11,,,4.6,,,,74,Total,,,,,,410.0,1880.0,,,21
2,,,5.9,,,,74,B.J. Baylor RB,,,,,,30.0,177.0,,,3
3,,,8.9,,,,24,Tyjon Lindsey WR,,,,,,8.0,71.0,,,1
4,,,5.7,,,,11,Calvin Tyler Jr. RB,,,,,,12.0,68.0,,,0
5,,,4.1,,,,15,Tristan Gebbia QB,,,,,,11.0,45.0,,,1
6,,,12.0,,,,18,Trevon Bradford WR,,,,,,2.0,24.0,,,0
7,,,6.0,,,,24,Champ Flemings WR,,,,,,3.0,18.0,,,0
8,,,1.7000000000000002,,,,8,Jack Colletto QB,,,,,,6.0,10.0,,,1
9,,,2.0,,,,6,Ta'Ron Madison RB,,,,,,2.0,4.0,,,0
0,,13.6,,,,,42,Isaiah Hodgins WR,,,86.0,,1171.0,,,,,13
1,,14.3,,,,,75,Champ Flemings WR,,,32.0,,457.0,,,,,3
10,,9.0,,,,,14,Luke Musgrave TE,,,2.0,,18.0,,,,,0
11,,15.0,,,,,15,Calvin Tyler Jr. RB,,,1.0,,15.0,,,,,1
12,,6.0,,,,,6,B.J. Baylor RB,,,1.0,,6.0,,,,,0
13,,11.8,,,,,75,Total,,,260.0,,3061.0,,,,,30
2,,9.2,,,,,23,Noah Togiai TE,,,44.0,,406.0,,,,,3
3,,10.0,,,,,45,Kolby Taylor WR,,,22.0,,219.0,,,,,1
4,,11.6,,,,,53,Tyjon Lindsey WR,,,18.0,,209.0,,,,,2
5,,7.3,,,,,20,Artavis Pierce RB,,,23.0,,169.0,,,,,1
6,,9.3,,,,,18,Trevon Bradford WR,,,13.0,,121.0,,,,,1
7,,20.0,,,,,28,Teagan Quitoriano TE,,,5.0,,100.0,,,,,2
8,,21.3,,,,,43,Jesiah Irish WR,,,4.0,,85.0,,,,,1
9,,9.4,,,,,39,Jermar Jefferson RB,,,9.0,,85.0,,,,,2
