,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,7.6,,,240.0,60.2,6.0,70,Ian Book QB,399.0,3034.0,,149.1,,,,14.0,-72.0,34
1,14.8,,,12.0,80.0,0.0,52,Phil Jurkovec QB,15.0,222.0,,248.3,,,,2.0,-16.0,2
2,11.0,,,1.0,50.0,0.0,22,Brendon Clark QB,2.0,22.0,,307.4,,,,0.0,0.0,1
3,7.9,,,253.0,60.8,6.0,70,Total,416.0,3278.0,,153.5,,,,17.0,-93.0,37
0,,,6.0,,,,84,Tony Jones Jr. RB,,,,,,144.0,857.0,,,6
1,,,4.9,,,,53,Ian Book QB,,,,,,112.0,546.0,,,4
10,,,6.5,,,,14,Kyren Williams RB,,,,,,4.0,26.0,,,0
11,,,1.7000000000000002,,,,7,Avery Davis CB,,,,,,6.0,10.0,,,0
12,,,1.0,,,,7,Chris Finke WR,,,,,,2.0,2.0,,,0
13,,,2.0,,,,2,Michael Young WR,,,,,,1.0,2.0,,,0
14,,,1.0,,,,1,Nolan Henry QB,,,,,,1.0,1.0,,,0
15,,,4.9,,,,84,Total,,,,,,473.0,2327.0,,,20
2,,,15.4,,,,61,Braden Lenzy WR,,,,,,13.0,200.0,,,2
3,,,4.3,,,,40,Jahmir Smith RB,,,,,,42.0,180.0,,,2
4,,,3.4,,,,14,C'Bo Flemister RB,,,,,,48.0,162.0,,,5
5,,,5.9,,,,27,Phil Jurkovec QB,,,,,,22.0,130.0,,,0
6,,,2.7,,,,28,Jafar Armstrong RB,,,,,,46.0,122.0,,,1
7,,,7.5,,,,15,Lawrence Keys III WR,,,,,,6.0,45.0,,,0
8,,,3.8,,,,13,Mick Assaf RB,,,,,,9.0,34.0,,,0
9,,,6.6,,,,14,Brendon Clark QB,,,,,,5.0,33.0,,,0
0,,15.7,,,,,47,Chase Claypool WR,,,66.0,,1037.0,,,,,13
1,,12.0,,,,,37,Cole Kmet TE,,,43.0,,515.0,,,,,6
10,,22.5,,,,,40,Brock Wright TE,,,2.0,,45.0,,,,,0
11,,3.5,,,,,8,Michael Young WR,,,6.0,,21.0,,,,,0
12,,13.0,,,,,13,C'Bo Flemister RB,,,1.0,,13.0,,,,,0
13,,6.0,,,,,6,Jahmir Smith RB,,,2.0,,12.0,,,,,0
14,,6.0,,,,,10,George Takacs TE,,,2.0,,12.0,,,,,1
15,,3.0,,,,,3,Kyren Williams RB,,,1.0,,3.0,,,,,0
16,,13.0,,,,,70,Total,,,253.0,,3278.0,,,,,37
2,,11.1,,,,,54,Chris Finke WR,,,41.0,,456.0,,,,,4
3,,24.4,,,,,65,Javon McKinley WR,,,11.0,,268.0,,,,,4
4,,23.1,,,,,70,Braden Lenzy WR,,,11.0,,254.0,,,,,2
5,,11.4,,,,,29,Tommy Tremble TE,,,16.0,,183.0,,,,,4
6,,10.3,,,,,28,Lawrence Keys III WR,,,13.0,,134.0,,,,,0
7,,12.4,,,,,59,Avery Davis CB,,,10.0,,124.0,,,,,2
8,,6.9,,,,,24,Tony Jones Jr. RB,,,15.0,,104.0,,,,,1
9,,7.5,,,,,26,Jafar Armstrong RB,,,13.0,,97.0,,,,,0
