,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,7.4,,,241.0,69.9,7.0,69,Ty Storey QB,345.0,2567.0,,141.7,,,,18.0,-118.0,14
1,6.6,,,70.0,58.8,4.0,77,Steven Duncan QB,119.0,790.0,,121.7,,,,2.0,-12.0,5
2,4.0,,,1.0,50.0,0.0,8,Lucky Jackson WR,2.0,8.0,,248.6,,,,0.0,0.0,1
3,6.0,,,1.0,100.0,0.0,6,Kevaris Thomas QB,1.0,6.0,,150.4,,,,0.0,0.0,0
4,0.0,,,0.0,0.0,1.0,0,Jacquez Sloan WR,1.0,0.0,,-200.0,,,,0.0,0.0,0
5,7.2,,,313.0,66.7,12.0,77,Total,469.0,3371.0,,136.1,,,,20.0,-130.0,20
0,,,5.0,,,,68,Gaej Walker RB,,,,,,241.0,1208.0,,,8
1,,,2.3,,,,27,Ty Storey QB,,,,,,118.0,276.0,,,7
10,,,6.0,,,,6,Jakairi Moses RB,,,,,,1.0,6.0,,,0
11,,,3.0,,,,3,John Haggerty PK,,,,,,1.0,3.0,,,0
12,,,-2.4,,,,6,Jahcour Pearson WR,,,,,,5.0,-12.0,,,0
13,,,3.9,,,,68,Total,,,,,,431.0,1670.0,,,18
2,,,10.0,,,,21,Jacquez Sloan WR,,,,,,8.0,80.0,,,2
3,,,6.2,,,,24,KeShawn McClendon RB,,,,,,9.0,56.0,,,0
4,,,2.8,,,,6,Joshua Samuel RB,,,,,,6.0,17.0,,,0
5,,,16.0,,,,16,Davis Shanley QB,,,,,,1.0,16.0,,,0
6,,,3.2,,,,6,Gino Appleberry Jr. RB,,,,,,5.0,16.0,,,0
7,,,15.0,,,,15,Lucky Jackson WR,,,,,,1.0,15.0,,,0
8,,,0.7000000000000001,,,,7,Steven Duncan QB,,,,,,15.0,11.0,,,1
9,,,2.3,,,,11,Garland LaFrance WR,,,,,,4.0,9.0,,,0
0,,12.1,,,,,69,Lucky Jackson WR,,,94.0,,1133.0,,,,,4
1,,10.6,,,,,69,Jahcour Pearson WR,,,76.0,,804.0,,,,,7
10,,12.0,,,,,12,Xavier Lane WR,,,1.0,,12.0,,,,,0
11,,10.0,,,,,10,Dayton Wade WR,,,1.0,,10.0,,,,,0
12,,5.0,,,,,5,Joshua Samuel RB,,,2.0,,10.0,,,,,0
13,,6.0,,,,,6,Steven Witchoskey TE,,,1.0,,6.0,,,,,0
14,,10.8,,,,,77,Total,,,313.0,,3371.0,,,,,20
2,,14.3,,,,,77,Joshua Simon TE,,,30.0,,430.0,,,,,4
3,,10.7,,,,,33,Quin Jernighan WR,,,32.0,,341.0,,,,,2
4,,8.7,,,,,25,Jacquez Sloan WR,,,34.0,,297.0,,,,,1
5,,5.8,,,,,20,Gaej Walker RB,,,24.0,,140.0,,,,,0
6,,12.0,,,,,28,Kyle Fourtenbary TE,,,9.0,,108.0,,,,,1
7,,17.0,,,,,26,Jakairi Moses RB,,,3.0,,51.0,,,,,0
8,,3.8,,,,,8,Garland LaFrance WR,,,4.0,,15.0,,,,,0
9,,7.0,,,,,8,Ty Storey QB,,,2.0,,14.0,,,,,1
