,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,7.3,,,236.0,64.7,11.0,53,Jorge Reyna QB,365.0,2655.0,,133.3,,,,23.0,-158.0,15
1,36.0,,,1.0,100.0,0.0,36,Jalen Cropper WR,1.0,36.0,,732.4,,,,0.0,0.0,1
2,5.0,,,4.0,66.7,0.0,17,Ben Wooldridge QB,6.0,30.0,,163.7,,,,0.0,0.0,1
3,0.0,,,0.0,0.0,0.0,0,Josh Hokit RB,1.0,0.0,,0.0,,,,0.0,0.0,0
4,7.3,,,241.0,64.6,11.0,53,Total,373.0,2721.0,,135.0,,,,23.0,-158.0,17
0,,,5.1,,,,55,Ronnie Rivers RB,,,,,,177.0,899.0,,,13
1,,,17.1,,,,82,Jalen Cropper WR,,,,,,20.0,343.0,,,3
10,,,4.9,,,,82,Total,,,,,,394.0,1911.0,,,27
2,,,3.8,,,,14,Josh Hokit RB,,,,,,75.0,287.0,,,9
3,,,2.7,,,,40,Jorge Reyna QB,,,,,,98.0,264.0,,,2
4,,,12.3,,,,18,Derrion Grim WR,,,,,,4.0,49.0,,,0
5,,,17.0,,,,27,Cam Sutton TE,,,,,,2.0,34.0,,,0
6,,,6.5,,,,17,Saevion Johnson RB,,,,,,4.0,26.0,,,0
7,,,6.5,,,,8,Ben Wooldridge QB,,,,,,2.0,13.0,,,0
8,,,1.7000000000000002,,,,3,Zion Echols RB,,,,,,3.0,5.0,,,0
9,,,0.0,,,,0,Zane Pope WR,,,,,,1.0,0.0,,,0
0,,11.3,,,,,53,Zane Pope WR,,,47.0,,529.0,,,,,1
1,,8.1,,,,,34,Ronnie Rivers RB,,,43.0,,348.0,,,,,3
10,,13.2,,,,,33,Jamal Glaspie WR,,,6.0,,79.0,,,,,0
11,,8.4,,,,,21,Juan Rodriguez TE,,,5.0,,42.0,,,,,0
12,,7.0,,,,,7,Erik Brooks WR,,,1.0,,7.0,,,,,0
13,,0.0,,,,,3,Jorge Reyna QB,,,0.0,,6.0,,,,,0
14,,-10.0,,,,,-10,Josh Kelly WR,,,1.0,,-10.0,,,,,0
15,,11.3,,,,,53,Total,,,241.0,,2721.0,,,,,17
2,,18.1,,,,,46,Keric Wheatfall WR,,,17.0,,307.0,,,,,1
3,,9.6,,,,,38,Jared Rice TE,,,32.0,,307.0,,,,,4
4,,15.1,,,,,53,Derrion Grim WR,,,20.0,,303.0,,,,,4
5,,10.9,,,,,39,Emoryie Edwards WR,,,22.0,,240.0,,,,,2
6,,13.1,,,,,48,Jalen Cropper WR,,,15.0,,196.0,,,,,0
7,,17.6,,,,,36,Chris Coleman WR,,,9.0,,158.0,,,,,1
8,,18.7,,,,,37,Cam Sutton TE,,,6.0,,112.0,,,,,0
9,,5.7,,,,,15,Josh Hokit RB,,,17.0,,97.0,,,,,1
