,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,7.1,,,320.0,64.5,12.0,67,Bryce Perkins QB,496.0,3538.0,,134.2,,,,41.0,-240.0,22
1,9.8,,,15.0,75.0,2.0,44,Brennan Armstrong QB,20.0,196.0,,153.8,,,,0.0,0.0,1
2,6.0,,,1.0,50.0,1.0,12,Lindell Stone QB,2.0,12.0,,0.4,,,,0.0,0.0,0
3,2.0,,,1.0,100.0,0.0,2,Nash Griffin PK,1.0,2.0,,116.8,,,,0.0,0.0,0
4,0.0,,,0.0,0.0,0.0,0,Team -,1.0,0.0,,0.0,,,,0.0,0.0,0
5,7.2,,,337.0,64.8,15.0,67,Total,520.0,3748.0,,134.2,,,,41.0,-240.0,23
0,,,3.4,,,,67,Bryce Perkins QB,,,,,,227.0,769.0,,,11
1,,,4.1,,,,31,Wayne Taulapapa RB,,,,,,116.0,473.0,,,12
10,,,-5.0,,,,0,Lindell Stone QB,,,,,,1.0,-5.0,,,0
11,,,-2.0,,,,0,Team -,,,,,,7.0,-14.0,,,0
12,,,3.8,,,,67,Total,,,,,,442.0,1697.0,,,28
2,,,5.4,,,,38,PK Kier RB,,,,,,32.0,174.0,,,1
3,,,5.3,,,,37,Mike Hollins RB,,,,,,21.0,112.0,,,3
4,,,4.9,,,,33,Lamont Atkins RB,,,,,,15.0,73.0,,,1
5,,,8.6,,,,17,Tavares Kelly Jr. WR,,,,,,5.0,43.0,,,0
6,,,5.3,,,,22,Joe Reed WR,,,,,,8.0,42.0,,,0
7,,,2.7,,,,11,Brennan Armstrong QB,,,,,,7.0,19.0,,,0
8,,,3.5,,,,8,Billy Kemp IV RB,,,,,,2.0,7.0,,,0
9,,,4.0,,,,4,Jamari Peacock FB,,,,,,1.0,4.0,,,0
0,,14.2,,,,,67,Hasise Dubois WR,,,75.0,,1062.0,,,,,6
1,,12.0,,,,,47,Terrell Jana WR,,,74.0,,886.0,,,,,3
10,,24.0,,,,,24,Charles Snowden LB,,,1.0,,24.0,,,,,0
11,,4.6,,,,,10,Wayne Taulapapa RB,,,5.0,,23.0,,,,,0
12,,5.3,,,,,9,Chris Sharp RB,,,4.0,,21.0,,,,,1
13,,9.0,,,,,15,Dejon Brissett WR,,,2.0,,18.0,,,,,0
14,,6.0,,,,,6,Grant Misch TE,,,1.0,,6.0,,,,,1
15,,11.1,,,,,67,Total,,,337.0,,3748.0,,,,,23
2,,8.8,,,,,43,Joe Reed WR,,,77.0,,679.0,,,,,7
3,,11.1,,,,,52,Tanner Cowley TE,,,28.0,,311.0,,,,,1
4,,8.3,,,,,25,Billy Kemp IV RB,,,35.0,,289.0,,,,,1
5,,10.9,,,,,35,Tavares Kelly Jr. WR,,,14.0,,152.0,,,,,1
6,,14.9,,,,,33,Terrell Chatman WR,,,7.0,,104.0,,,,,1
7,,20.3,,,,,44,Dontayvion Wicks WR,,,3.0,,61.0,,,,,1
8,,7.6,,,,,34,Lamont Atkins RB,,,8.0,,61.0,,,,,0
9,,17.0,,,,,28,Hayden Mitchell WR,,,3.0,,51.0,,,,,0
