,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,6.0,,,87.0,45.1,7.0,59,James Graham QB,193.0,1164.0,,109.0,,,,17.0,-118.0,12
1,5.1,,,21.0,56.8,1.0,33,Lucas Johnson QB,37.0,187.0,,102.7,,,,4.0,-25.0,1
2,6.8,,,11.0,42.3,2.0,54,Tobias Oliver QB,26.0,177.0,,84.1,,,,4.0,-22.0,0
3,41.0,,,1.0,100.0,0.0,41,Pressley Harvin III P,1.0,41.0,,774.4,,,,0.0,0.0,1
4,3.2,,,4.0,33.3,0.0,17,Jordan Yates QB,12.0,38.0,,59.9,,,,3.0,-17.0,0
5,6.0,,,124.0,46.1,10.0,59,Total,269.0,1607.0,,106.0,,,,28.0,-182.0,14
0,,,5.2,,,,48,Jordan Mason RB,,,,,,172.0,899.0,,,7
1,,,2.9,,,,26,James Graham QB,,,,,,99.0,290.0,,,3
10,,,0.5,,,,4,Nathan Cottrell RB,,,,,,2.0,1.0,,,0
11,,,-3.0,,,,0,-,,,,,,9.0,-27.0,,,0
12,,,4.1,,,,48,Total,,,,,,448.0,1829.0,,,12
2,,,5.1,,,,39,Tobias Oliver QB,,,,,,55.0,279.0,,,2
3,,,3.4,,,,16,Jamious Griffin RB,,,,,,37.0,125.0,,,0
4,,,4.4,,,,20,Jerry Howard Jr. RB,,,,,,23.0,102.0,,,0
5,,,6.5,,,,25,Dontae Smith RB,,,,,,10.0,65.0,,,0
6,,,2.0,,,,13,Lucas Johnson QB,,,,,,22.0,43.0,,,0
7,,,4.6,,,,17,Christian Malloy RB,,,,,,7.0,32.0,,,0
8,,,1.6,,,,13,Jordan Yates QB,,,,,,11.0,18.0,,,0
9,,,2.0,,,,2,Ahmarean Brown WR,,,,,,1.0,2.0,,,0
0,,18.9,,,,,59,Ahmarean Brown WR,,,21.0,,396.0,,,,,7
1,,13.1,,,,,39,Adonicas Sanders WR,,,19.0,,249.0,,,,,0
10,,6.1,,,,,11,Jordan Mason RB,,,7.0,,43.0,,,,,0
11,,6.5,,,,,10,Dontae Smith RB,,,2.0,,13.0,,,,,0
12,,5.5,,,,,6,Jamious Griffin RB,,,2.0,,11.0,,,,,0
13,,3.0,,,,,3,Dylan Leonard TE,,,2.0,,6.0,,,,,0
14,,4.0,,,,,4,Peje' Harris WR,,,1.0,,4.0,,,,,0
15,,2.0,,,,,2,Pressley Harvin III P,,,1.0,,2.0,,,,,0
16,,2.0,,,,,2,Jair Hawkins-Anderson DB,,,1.0,,2.0,,,,,0
17,,13.0,,,,,59,Total,,,124.0,,1607.0,,,,,14
2,,15.0,,,,,54,Malachi Carter WR,,,16.0,,240.0,,,,,2
3,,8.7,,,,,38,Tyler Davis TE,,,17.0,,148.0,,,,,1
4,,19.1,,,,,33,Jalen Camp WR,,,7.0,,134.0,,,,,1
5,,9.6,,,,,37,Tobias Oliver QB,,,11.0,,106.0,,,,,1
6,,15.3,,,,,54,Jerry Howard Jr. RB,,,6.0,,92.0,,,,,1
7,,20.0,,,,,41,Nathan Cottrell RB,,,3.0,,60.0,,,,,1
8,,26.5,,,,,34,Josh Blancato WR,,,2.0,,53.0,,,,,0
9,,8.0,,,,,13,Dylan Deveney TE,,,6.0,,48.0,,,,,0
