,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,6.8,,,246.0,58.7,12.0,79,Anthony Russo QB,419.0,2861.0,,126.9,,,,16.0,-96.0,21
1,8.7,,,34.0,66.7,1.0,89,Todd Centeio QB,51.0,444.0,,168.2,,,,5.0,-36.0,5
2,7.0,,,1.0,100.0,0.0,7,Branden Mack WR,1.0,7.0,,158.8,,,,0.0,0.0,0
3,0.0,,,1.0,100.0,0.0,0,Adam Barry P,1.0,0.0,,100.0,,,,0.0,0.0,0
4,7.0,,,282.0,59.7,13.0,89,Total,472.0,3312.0,,131.4,,,,21.0,-132.0,26
0,,,4.8,,,,55,Re'Mahn Davis RB,,,,,,193.0,936.0,,,8
1,,,4.1,,,,57,Jager Gardner RB,,,,,,141.0,585.0,,,5
10,,,4.5,,,,6,Jeremy Jennings WR,,,,,,2.0,9.0,,,0
11,,,1.0,,,,2,Edward Saydee RB,,,,,,2.0,2.0,,,0
12,,,-1.8,,,,9,Anthony Russo QB,,,,,,35.0,-64.0,,,2
13,,,3.7,,,,57,Total,,,,,,479.0,1784.0,,,16
2,,,3.3,,,,45,Todd Centeio QB,,,,,,47.0,155.0,,,0
3,,,5.3,,,,23,Tayvon Ruley RB,,,,,,24.0,127.0,,,1
4,,,9.6,,,,34,Isaiah Wright WR,,,,,,5.0,48.0,,,0
5,,,3.3,,,,7,Jadan Blue WR,,,,,,6.0,20.0,,,0
6,,,7.0,,,,7,Branden Mack WR,,,,,,2.0,14.0,,,0
7,,,4.3,,,,7,Trad Beatty QB,,,,,,3.0,13.0,,,0
8,,,3.0,,,,7,Shaun Bradley LB,,,,,,4.0,12.0,,,0
9,,,5.5,,,,7,Kyle Dobbins RB,,,,,,2.0,11.0,,,0
0,,11.2,,,,,79,Jadan Blue WR,,,95.0,,1067.0,,,,,4
1,,15.3,,,,,75,Branden Mack WR,,,59.0,,904.0,,,,,7
10,,5.0,,,,,9,Kadas Reams WR,,,2.0,,10.0,,,,,0
11,,10.0,,,,,10,Aaron Jarman TE,,,1.0,,10.0,,,,,1
12,,7.0,,,,,7,Todd Centeio QB,,,1.0,,7.0,,,,,0
13,,7.0,,,,,7,Tayvon Ruley RB,,,1.0,,7.0,,,,,0
14,,6.0,,,,,6,Jeremy Jennings WR,,,1.0,,6.0,,,,,0
15,,5.0,,,,,5,Thomas Mattioni WR,,,1.0,,5.0,,,,,0
16,,3.0,,,,,3,Kyle Dobbins RB,,,1.0,,3.0,,,,,0
17,,11.7,,,,,89,Total,,,282.0,,3312.0,,,,,26
2,,9.4,,,,,29,Isaiah Wright WR,,,47.0,,442.0,,,,,5
3,,12.3,,,,,53,Kenny Yeboah TE,,,19.0,,233.0,,,,,5
4,,12.1,,,,,51,Re'Mahn Davis RB,,,15.0,,181.0,,,,,2
5,,9.3,,,,,24,Jose Barbon WR,,,18.0,,168.0,,,,,0
6,,20.8,,,,,89,Travon Williams WR,,,6.0,,125.0,,,,,1
7,,12.8,,,,,32,David Martin-Robinson TE,,,5.0,,64.0,,,,,0
8,,6.0,,,,,18,Jager Gardner RB,,,8.0,,48.0,,,,,0
9,,32.0,,,,,32,Randle Jones WR,,,1.0,,32.0,,,,,1
