,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
0,6.9,,,147.0,63.6,14.0,64,Tyler Vitt QB,231.0,1590.0,,125.0,,,,15.0,-98.0,11
1,6.3,,,129.0,62.6,6.0,77,Gresch Jensen QB,206.0,1291.0,,117.4,,,,15.0,-109.0,5
2,4.0,,,1.0,50.0,0.0,8,Hutch White WR,2.0,8.0,,248.6,,,,0.0,0.0,1
3,4.0,,,1.0,100.0,0.0,4,Seamus O'Kelly P,1.0,4.0,,133.6,,,,0.0,0.0,0
4,0.0,,,0.0,0.0,0.0,0,Jaylin Nelson RB,1.0,0.0,,0.0,,,,0.0,0.0,0
5,6.6,,,278.0,63.0,20.0,77,Total,441.0,2893.0,,121.8,,,,30.0,-207.0,17
0,,,4.5,,,,60,Caleb Twyford WR,,,,,,108.0,488.0,,,2
1,,,3.0,,,,20,Anthony D. Taylor RB,,,,,,74.0,223.0,,,2
10,,,-7.2,,,,0,-,,,,,,6.0,-43.0,,,0
11,,,-1.8,,,,22,Gresch Jensen QB,,,,,,28.0,-49.0,,,2
12,,,2.8,,,,60,Total,,,,,,327.0,921.0,,,8
2,,,5.8,,,,40,Robert Brown Jr. RB,,,,,,28.0,161.0,,,1
3,,,2.1,,,,25,Tyler Vitt QB,,,,,,56.0,119.0,,,0
4,,,1.8,,,,10,Calvin Hill RB,,,,,,16.0,28.0,,,1
5,,,4.6,,,,11,Jaylin Nelson RB,,,,,,5.0,23.0,,,0
6,,,5.0,,,,5,Ishmael Davis DE,,,,,,1.0,5.0,,,0
7,,,-1.0,,,,2,Hutch White WR,,,,,,3.0,-3.0,,,0
8,,,-6.0,,,,0,Kieston Roach CB,,,,,,1.0,-6.0,,,0
9,,,-25.0,,,,0,Seamus O'Kelly P,,,,,,1.0,-25.0,,,0
0,,9.2,,,,,40,Hutch White WR,,,67.0,,618.0,,,,,2
1,,18.4,,,,,77,Javen Banks WR,,,20.0,,367.0,,,,,4
10,,13.8,,,,,22,Jacoby Hopkins WR,,,5.0,,69.0,,,,,1
11,,42.0,,,,,42,Kenny Frazier WR,,,1.0,,42.0,,,,,0
12,,9.3,,,,,15,Seth Caillouet TE,,,4.0,,37.0,,,,,0
13,,11.0,,,,,12,Dylan Jantz WR,,,2.0,,22.0,,,,,0
14,,4.7,,,,,12,Hunter Hebert TE,,,3.0,,14.0,,,,,0
15,,12.0,,,,,12,Chandler Speights WR,,,1.0,,12.0,,,,,0
16,,3.7,,,,,9,Robert Brown Jr. RB,,,3.0,,11.0,,,,,0
17,,4.5,,,,,5,Blake Aragon WR,,,2.0,,9.0,,,,,0
18,,8.0,,,,,8,Tyler Vitt QB,,,1.0,,8.0,,,,,1
19,,4.0,,,,,4,Jaylin Nelson RB,,,1.0,,4.0,,,,,0
2,,12.6,,,,,62,Trevis Graham Jr. WR,,,28.0,,353.0,,,,,4
20,,4.0,,,,,4,Kumonde Hines LB,,,1.0,,4.0,,,,,0
21,,10.4,,,,,77,Total,,,278.0,,2893.0,,,,,17
3,,10.1,,,,,37,Jeremiah Haydel WR,,,32.0,,324.0,,,,,0
4,,13.3,,,,,64,Mason Hays WR,,,20.0,,265.0,,,,,1
5,,11.2,,,,,50,Jah'Marae Sheread WR,,,21.0,,236.0,,,,,1
6,,13.4,,,,,36,Micah Hilts WR,,,13.0,,174.0,,,,,1
7,,5.4,,,,,35,Caleb Twyford WR,,,27.0,,145.0,,,,,1
8,,5.5,,,,,23,Anthony D. Taylor RB,,,20.0,,110.0,,,,,1
9,,11.5,,,,,28,Calvin Hill RB,,,6.0,,69.0,,,,,0
