team_no,variable,first_downs,first_downs_by_penalty,third_down_percentage,fourth_down_percentage,average_interception_yards,average_kickoff_return_yards,average_punt_return_yards,interceptions,net_average_punt_yards,net_passing_yards,net_passing_yards_per_game,passing_first_downs,passing_touchdowns,rushing_first_downs,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_yards_per_game,total_offensive_plays,total_points,total_points_per_game,total_touchdowns,total_offensive_yards,total_penalties_yards,yards_per_game,yards_per_pass_attempt,yards_per_rush_attempt,total_penalties,total_yards_penalized,total_defensive_sacks,yards_lost_from_sacks,total_punts_kicked,total_punt_yards,total_team_penalties,abbr
49,Wisconsin,320,12,48.15,78.26,16.7,28.4,8.1,5,36.2,2802,200.1,134,18,174,612,38,3263,233.1,983,477,34.1,62,6065,69-636,433.2,8,5.3,69,636,20,121,48,1903,69,WIS
50,Charlotte,270,22,40.76,56.52,11.2,17.3,7.1,14,32.5,2749,211.5,119,24,129,527,26,2605,200.4,869,388,29.8,52,5354,68-594,411.8,8.6,4.9,68,594,21,121,51,1975,68,CHAR
51,Florida Atlantic,330,25,39.9,59.09,10,19.3,5.4,8,39.9,3956,282.6,181,30,124,551,32,2324,166,1081,508,36.3,65,6280,95-852,448.6,7.9,4.2,95,852,28,218,69,2958,95,FAU
52,Florida International,259,30,37.84,54.17,12.5,16,15.6,6,40.8,2754,211.8,128,14,101,488,23,2148,165.2,891,344,26.5,40,4902,79-733,377.1,7.1,4.4,79,733,14,84,57,2414,79,FIU
53,Louisiana Tech,304,27,40.91,37.5,13.9,22,5.4,10,34,3490,268.5,158,21,119,475,27,2189,168.4,962,422,32.5,54,5679,72-605,436.8,7.6,4.6,72,605,29,164,60,2247,72,LT
54,Marshall,271,29,37.91,42.86,16.6,18.6,11.8,11,37.8,2605,200.4,100,16,142,532,21,2514,193.4,912,337,25.9,40,5119,75-680,393.8,7.3,4.7,75,680,25,182,66,2709,75,MRSH
55,Middle Tennessee,247,22,34.9,52.94,8.5,14.8,2.8,9,35.5,2837,236.4,122,22,103,404,18,2049,170.8,793,316,26.3,41,4886,57-497,407.2,7.7,5.1,57,497,22,133,60,2375,57,MTSU
56,North Texas,252,14,36.99,56.25,9.8,23.3,8.4,12,38.7,3400,283.3,150,33,88,396,11,1623,135.3,876,367,30.6,46,5023,64-672,418.6,7.5,4.1,64,672,26,178,51,2211,64,UNT
57,Old Dominion,203,23,30.98,58.82,14.7,24.8,7.1,12,36.5,2117,176.4,104,5,76,431,16,1168,97.3,862,195,16.3,21,3285,71-729,273.8,5.6,2.7,71,729,52,285,68,2644,71,ODU
58,Rice,204,27,37.71,44.44,1.2,20.4,9.2,4,41.1,1992,166,98,13,79,433,14,1538,128.2,787,215,17.9,27,3530,44-330,294.2,6.2,3.6,44,330,34,189,66,2822,44,RICE
59,Southern Mississippi,246,19,38.42,47.06,15.9,23.6,9.8,17,36.2,3764,289.5,153,20,74,434,17,1527,117.5,895,346,26.6,42,5291,81-716,407,8.6,3.5,81,716,23,183,62,2397,81,USM
60,UAB,251,22,31.32,40,12.4,19.1,3.4,20,38.4,2815,201.1,120,20,109,558,16,2111,150.8,921,324,23.1,38,4926,101-992,351.9,8.3,3.8,101,992,25,163,69,2860,101,UAB
61,UTEP,215,16,34.97,72,0,20.3,4.9,8,37.3,2292,191,104,9,95,438,18,1658,138.2,803,235,19.6,29,3950,80-738,329.2,6.9,3.8,80,738,35,262,63,2448,80,UTEP
62,UTSA,216,16,36.26,54.84,15.2,21,2.2,11,38.4,2189,182.4,99,13,101,453,15,1950,162.5,850,244,20.3,31,4139,89-829,344.9,6,4.3,89,829,31,158,65,2651,89,UTSA
63,Western Kentucky,267,21,40.76,60,4.5,19.2,4.1,12,41.6,3371,259.3,154,20,92,431,18,1670,128.5,920,330,25.4,40,5041,53-514,387.8,7.2,3.9,53,514,20,130,46,2083,53,WKU
64,Army,272,15,44.97,66.67,22.1,16.8,2.6,7,42.2,1066,82,38,6,219,743,45,3863,297.2,885,370,28.5,52,4929,60-496,379.2,8.5,5.2,60,496,16,102,37,1660,60,ARMY
65,BYU,293,16,42.47,36.84,16,19.4,13.5,11,37.5,3701,284.7,170,20,107,465,25,2068,159.1,962,372,28.6,46,5769,79-668,443.8,7.9,4.4,79,668,29,174,53,2209,79,BYU
66,Liberty,289,29,40.48,31.25,12.3,24.3,0.5,8,37.1,3756,288.9,161,29,99,435,25,1956,150.5,915,429,35.8,56,5712,88-801,439.4,8.3,4.5,88,801,28,199,55,2245,88,LIBE
67,New Mexico State,228,18,31.98,61.54,3.6,13.5,9.5,15,38.7,2611,217.6,117,15,93,386,16,1722,143.5,863,260,21.7,33,4333,68-531,361.1,5.9,4.5,68,531,31,202,66,2773,68,UNM
68,Notre Dame,272,23,40,68,9.7,18.3,8.4,6,37.7,3278,252.2,135,37,114,473,20,2327,179,906,478,36.8,61,5605,84-645,431.2,7.9,4.9,84,645,17,93,63,2485,84,ND
69,UMass,189,19,34.38,37.93,11.8,20.7,9.4,16,37.1,2022,168.5,94,15,76,430,14,1495,124.6,849,237,21.5,31,3517,82-717,293.1,5.2,3.5,82,717,27,174,79,3116,82,UMAS
70,Akron,156,14,25.77,30.44,24,21.5,3.8,14,35.4,2344,195.3,91,12,51,327,2,562,46.8,783,126,12.6,15,2906,81-628,242.2,5.9,1.7,81,628,58,328,80,2980,81,AKR
71,Ball State,292,26,41.04,52.17,4.7,22.6,8,7,31.6,2923,243.6,137,24,129,536,27,2633,219.4,938,418,34.8,53,5556,71-636,463,7.8,4.9,71,636,29,167,53,2060,71,BALL
72,Bowling Green,204,13,33.15,21.88,11,18.6,5.2,15,38.2,1888,157.3,88,9,103,502,15,1941,161.8,853,192,19.2,25,3829,84-710,319.1,5.6,3.9,84,710,14,122,72,2923,84,BGSU
73,Buffalo,276,20,44.85,64,13.8,20.1,6.7,6,30.1,1795,138.1,83,14,173,659,36,3256,250.5,945,409,31.5,54,5051,64-580,388.5,6.5,4.9,64,580,8,59,53,1859,64,BUFF
74,Central Michigan,310,28,40.1,56.67,10.4,22.7,7.9,13,37.3,3531,252.2,160,19,122,526,36,2539,181.4,1020,426,32.8,55,6070,118-925,433.6,7.5,4.8,118,925,21,151,55,2305,118,CMU
